Borough,NTAName,SiteName,SiteAddress,Zipcode,DSNYZone,DSNYDistrict,DSNYSection,CommunityDistrict,BoroCT2020,CouncilDistrict,SenateDistrict,CongressionalDistrict,AssemblyDistrict,PolicePrecinct,BBL,BIN,Latitude,Longitude,ObjectId,point
Bronx,Concourse-Concourse Village,Best Buy,610 Exterior St,10451,BX,BX04,BX041,204,2006301,8,29,15,77,044,2023570035,2119100,40.82153924,-73.92977867,5008,POINT (-73.9297801004124 40.8215475203226)
Brooklyn,Marine Park-Mill Basin-Bergen Beach,Best Buy,5102 Ave U Ste 0171,11234,BKS,BKS18,BKS184,318,3069800,46,21,8,59,063,,,40.60989578,-73.92159858,5006,POINT (-73.9215999954237 40.6099040189363)
Bronx,Kingsbridge-Marble Hill,Best Buy,"171 W 230th St, Ste. 103",10463,BX,BX08,BX082,208,2028300,11,31,13,81,050,,,40.87728015,-73.90491584,4995,POINT (-73.9049172657609 40.8772884421362)
Manhattan,Midtown South-Flatiron-Union Square,Staples,5-9 Union Square W,10003,MN,MN05,MN051,105,1005200,2,28,10,66,013,1008420023,1016064,40.7354498,-73.9915753,4976,POINT (-73.9915767451867 40.7354580617546)
Brooklyn,Bay Ridge,Salvation Army,6822 3 Ave,11220,BKS,BKS10,BKS101,310,3006800,47,26,10,64,068,3058620050,3145151,40.6362001,-74.0260663,5023,POINT (-74.0260677507587 40.6362083411)
Brooklyn,East Flatbush-Remsen Village,Irving Rubber & Metal Co,9525 Ditmas Ave,11236,BKN,BKN17,BKN173,317,3092800,42,19,9,58,067,3081130001,3228344,40.65102651,-73.91076274,5018,POINT (-73.9107641547496 40.6510347573772)
Bronx,Kingsbridge-Marble Hill,Staples,5680 Broadway,10463,BX,BX08,BX082,208,2028300,11,31,13,81,050,2032680001,2016172,40.88108777,-73.90227651,4996,POINT (-73.902277935308 40.8810960633023)
Manhattan,East Midtown-Turtle Bay,Apple Store,45 Grand Central Terminal,10017,MN,MN05,MN052,105,1009200,4,28,12,73,014,1012800001,1035381,40.752642,-73.977279,4981,POINT (-73.9772804418636 40.7526502652216)
Manhattan,Chinatown-Two Bridges,DSNY Special Waste Drop-Off Site,74 Pike Slip,10002,MN,MN03,MN031,103,1000800,1,27,10,65,005,1002490056,1000000,40.71066,-73.99288,5013,POINT (-73.9928814440143 40.7106682563695)
Manhattan,Chelsea-Hudson Yards,Apple Store,401 W 14 St,10014,MN,MN04,MN041,104,1008300,3,47,10,66,010,1007120029,1012535,40.741335,-74.00555,4969,POINT (-74.0055514495212 40.7413432619452)
Brooklyn,Sunset Park (West),Micro Center,850 3rd Ave (31st & 3rd Ave),11232,BKS,BKS07,BKS072,307,3001802,38,26,10,51,072,,,40.6588044,-74.003448,5028,POINT (-74.0034494439017 40.6588126457954)
Queens,Elmhurst,Best Buy,8801 Queens Blvd,11373,QW,QW04,QW042,404,4047300,25,12,6,30,110,4018437501,4437281,40.7357438,-73.87448827,4986,POINT (-73.8744896777094 40.7357520656402)
